ip,datetime,method,url,protocol,status,size
112.110.247.238,17/May/2015:12:05:27 +0000,GET,/images/googledotcom.png,HTTP/1.1,304,0
108.32.74.68,17/May/2015:12:05:16 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
108.32.74.68,17/May/2015:12:05:40 +0000,GET,/style2.css,HTTP/1.1,200,4877
108.32.74.68,17/May/2015:12:05:02 +0000,GET,/reset.css,HTTP/1.1,200,1015
108.32.74.68,17/May/2015:12:05:16 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
108.32.74.68,17/May/2015:12:05:21 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
108.32.74.68,17/May/2015:12:05:15 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
203.118.242.184,17/May/2015:12:05:58 +0000,GET,/images/googledotcom.png,HTTP/1.1,200,65748
212.242.185.85,17/May/2015:12:05:05 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
212.242.185.85,17/May/2015:12:05:21 +0000,GET,/reset.css,HTTP/1.1,200,1015
212.242.185.85,17/May/2015:12:05:23 +0000,GET,/style2.css,HTTP/1.1,200,4877
212.242.185.85,17/May/2015:12:05:01 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
212.242.185.85,17/May/2015:12:05:17 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
212.242.185.85,17/May/2015:12:05:34 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
68.180.224.225,17/May/2015:12:05:26 +0000,GET,/blog/geekery/60.html,HTTP/1.1,200,9364
